ProductID,DepartmentID,ProductCode,ProductName,Description,UnitPrice,Brand,ManufacturingDate
18,4,P000018,Samsung Galaxy S24 18,Samsung Galaxy S24 product sold in Saudi Arabia,-10,Samsung,4/28/2020
19,2,P000019,Huawei nova 12 SE 19,Huawei nova 12 SE product sold in Saudi Arabia,5080.5,Huawei,6/12/2016
20,1,P000020,Dell XPS 16 Laptop 20,Dell XPS 16 Laptop laptop sold in Saudi Arabia,6288.56,Dell,9/10/2023
21,5,P000021,HP Pavilion 15 Laptop 21,HP Pavilion 15 Laptop laptop sold in Saudi Arabia,8633.27,HP,8/29/2016
22,2,P000022,Adidas Superstar Shoes 22,Adidas Superstar Shoes footwear sold in Saudi Arabia,7279.6,Adidas,9/20/2021
23,3,P000023,IKEA BILLY Bookcase 23,IKEA BILLY Bookcase furniture sold in Saudi Arabia,9731.46,IKEA,8/26/2025
24,3,P000024,Panasonic Lumix GH6 Camera 24,Panasonic Lumix GH6 Camera camera sold in Saudi Arabia,7112.93,Panasonic,6/5/2022
25,1,P000025,Samsung Galaxy S23 FE 25,Samsung Galaxy S23 FE product sold in Saudi Arabia,8577.72,Samsung,6/29/2024
26,5,P000026,Huawei nova 11i 26,Huawei nova 11i product sold in Saudi Arabia,7501.62,Huawei,1/27/2019
27,4,P000027,LG OLED G4 TV 27,LG OLED G4 TV television sold in Saudi Arabia,2248.64,LG,7/4/2017
28,3,P000028,Apple iPhone 28,Apple iPhone smartphone sold in Saudi Arabia,5212,Apple,6/17/2024
29,2,P000029,Canon EOS R6 Mark II Camera 29,Canon EOS R6 Mark II Camera camera sold in Saudi Arabia,9167.45,Canon,4/2/2023
30,3,P000030,Nike Air Max 270 Shoes 30,Nike Air Max 270 Shoes footwear sold in Saudi Arabia,7980.36,Nike,3/8/2021
31,5,P000031,Xiaomi 14 Ultra 31,Xiaomi 14 Ultra smartphone sold in Saudi Arabia,5707.71,Xiaomi,4/10/2020
32,5,P000032,Dell Inspiron 14 Laptop 32,Dell Inspiron 14 Laptop laptop sold in Saudi Arabia,7497.17,Dell,10/25/2024
33,1,P000033,Samsung Galaxy Z Fold6 33,Samsung Galaxy Z Fold6 product sold in Saudi Arabia,4674.72,Samsung,7/10/2019
34,2,P000034,LG QNED 4K TV 34,LG QNED 4K TV television sold in Saudi Arabia,6511.2,LG,4/14/2017
35,5,P000035,Sony Alpha A7R V Camera 35,Sony Alpha A7R V Camera camera sold in Saudi Arabia,1238.39,Sony,10/11/2019
36,2,P000036,Samsung Galaxy Z Flip6 36,Samsung Galaxy Z Flip6 product sold in Saudi Arabia,9321.37,Samsung,10/13/2019
37,3,P000037,HP Pavilion Plus 14 Laptop 37,HP Pavilion Plus 14 Laptop laptop sold in Saudi Arabia,2238.5,HP,12/27/2025
38,1,P000038,Adidas Stan Smith Shoes 38,Adidas Stan Smith Shoes footwear sold in Saudi Arabia,7871.57,Adidas,10/15/2024
39,2,P000039,Xiaomi 39,Xiaomi product sold in Saudi Arabia,6923.89,Xiaomi,6/25/2022
40,5,P000040,Nike Air Max 90 Shoes 40,Nike Air Max 90 Shoes footwear sold in Saudi Arabia,8518.23,Nike,1/21/2018
41,2,P000041,Lenovo ThinkPad T14 Laptop 41,Lenovo ThinkPad T14 Laptop laptop sold in Saudi Arabia,5983.81,Lenovo,1/6/2018
42,5,P000042,Huawei MatePad Pro 42,Huawei MatePad Pro tablet sold in Saudi Arabia,8243.39,Huawei,8/15/2016
43,4,P000043,IKEA KALLAX Shelf Unit 43,IKEA KALLAX Shelf Unit furniture sold in Saudi Arabia,4124.79,IKEA,12/24/2017
44,2,P000044,Samsung Galaxy A55 5G 44,Samsung Galaxy A55 5G product sold in Saudi Arabia,3934.44,Samsung,7/13/2024
45,4,P000045,Huawei MatePad 11.5 45,Huawei MatePad 11.5 tablet sold in Saudi Arabia,11165.72,Huawei,3/20/2017
46,3,P000046,Xiaomi Redmi Note 13 Pro 46,Xiaomi Redmi Note 13 Pro smartphone sold in Saudi Arabia,7195.91,Xiaomi,1/2/2019
47,2,P000047,Philips Hair Dryer 47,Philips Hair Dryer laundry appliance sold in Saudi Arabia,5360.22,Philips,7/6/2022
48,5,P000048,Xiaomi Redmi Note 48,Xiaomi Redmi Note smartphone sold in Saudi Arabia,7303.08,Xiaomi,9/21/2016
49,4,P000049,Apple iPhone 49,Apple iPhone smartphone sold in Saudi Arabia,6367.49,Apple,8/24/2018
50,1,P000050,Dell Inspiron 15 Laptop 50,Dell Inspiron 15 Laptop laptop sold in Saudi Arabia,2935.14,Dell,12/1/2017
51,2,P000051,Philips Hair Straightener 51,Philips Hair Straightener personal care product sold in Saudi Arabia,3024.08,Philips,5/2/2026
52,3,P000052,Huawei MateBook X Pro 52,Huawei MateBook X Pro laptop sold in Saudi Arabia,979.7,Huawei,10/31/2018
53,3,P000053,Dell Inspiron 16 Laptop 53,Dell Inspiron 16 Laptop laptop sold in Saudi Arabia,9907.82,Dell,1/26/2018
54,1,P000054,HP EliteBook 840 Laptop 54,HP EliteBook 840 Laptop laptop sold in Saudi Arabia,2827.56,HP,12/31/2020
55,3,P000055,Adidas Gazelle Shoes 55,Adidas Gazelle Shoes footwear sold in Saudi Arabia,9310.93,Adidas,3/21/2020
56,1,P000056,Dell Latitude 5440 Laptop 56,Dell Latitude 5440 Laptop laptop sold in Saudi Arabia,11722.19,Dell,4/12/2017
57,4,P000057,IKEA MALM Bed Frame 57,IKEA MALM Bed Frame furniture sold in Saudi Arabia,1288.57,IKEA,11/30/2023
58,3,P000058,Philips Airfryer XL 58,Philips Airfryer XL kitchen or home appliance sold in Saudi Arabia,22.9,Philips,2/1/2025
59,1,P000059,Nike Dunk Low Shoes 59,Nike Dunk Low Shoes footwear sold in Saudi Arabia,9528.9,Nike,3/23/2017
60,5,P000060,Dell Latitude 7440 Laptop 60,Dell Latitude 7440 Laptop laptop sold in Saudi Arabia,10064.15,Dell,3/18/2025
61,3,P000061,Philips Blender 61,Philips Blender kitchen or home appliance sold in Saudi Arabia,5157.75,Philips,4/7/2020
62,5,P000062,Nike React Infinity Run Shoes 62,Nike React Infinity Run Shoes footwear sold in Saudi Arabia,1745.6,Nike,5/14/2017
63,3,P000063,HP EliteBook 1040 Laptop 63,HP EliteBook 1040 Laptop laptop sold in Saudi Arabia,1475.32,HP,2/13/2017
64,2,P000064,IKEA MALM Chest of Drawers 64,IKEA MALM Chest of Drawers furniture sold in Saudi Arabia,10909.37,IKEA,1/16/2024
65,2,P000065,Samsung Galaxy A35 5G 65,Samsung Galaxy A35 5G product sold in Saudi Arabia,994.99,Samsung,6/20/2022
66,1,P000066,IKEA POÄNG Armchair 66,IKEA POÄNG Armchair furniture sold in Saudi Arabia,748.36,IKEA,8/15/2024
67,2,P000067,Nike Pegasus 41 Running Shoes 67,Nike Pegasus 41 Running Shoes footwear sold in Saudi Arabia,1716.03,Nike,12/19/2020
68,1,P000068,Lenovo ThinkPad E14 Laptop 68,Lenovo ThinkPad E14 Laptop laptop sold in Saudi Arabia,11064.74,Lenovo,1/31/2018
69,2,P000069,Apple iPhone SE 69,Apple iPhone SE smartphone sold in Saudi Arabia,11892.65,Apple,12/9/2025
70,1,P000070,Samsung Galaxy A25 5G 70,Samsung Galaxy A25 5G product sold in Saudi Arabia,5068.68,Samsung,9/19/2019
71,4,P000071,Samsung Galaxy Tab S9 71,Samsung Galaxy Tab S9 tablet sold in Saudi Arabia,3009.64,Samsung,5/18/2024
72,1,P000072,Huawei MateBook D 72,Huawei MateBook D laptop sold in Saudi Arabia,5738.49,Huawei,10/30/2022
73,5,P000073,Nike Metcon 9 Training Shoes 73,Nike Metcon 9 Training Shoes footwear sold in Saudi Arabia,7109.98,Nike,3/2/2021
74,2,P000074,Xiaomi Redmi 13C 74,Xiaomi Redmi 13C smartphone sold in Saudi Arabia,7725.15,Xiaomi,8/5/2017
75,1,P000075,Adidas Samba OG Shoes 75,Adidas Samba OG Shoes footwear sold in Saudi Arabia,2780.78,Adidas,4/22/2024
76,1,P000076,Sony Alpha A6700 Camera 76,Sony Alpha A6700 Camera camera sold in Saudi Arabia,11986.63,Sony,2/5/2020
77,5, P000077 ,Sony ZV-E10 Camera 77,Sony ZV-E10 Camera camera sold in Saudi Arabia,496.26,Sony,4/21/2024
78,5,P000078,Lenovo ThinkPad P1 Workstation 78,Lenovo ThinkPad P1 Workstation laptop sold in Saudi Arabia,9853.3,Lenovo,11/8/2023
79,3,P000079,LG UltraGear 27 Monitor 79,LG UltraGear 27 Monitor monitor sold in Saudi Arabia,5406.53,LG,6/10/2025
80,2,P000080,Nike Free Run Shoes 80,Nike Free Run Shoes footwear sold in Saudi Arabia,8681.11,Nike,7/31/2022
81,3,P000081,Panasonic Lumix S5II Camera 81,Panasonic Lumix S5II Camera camera sold in Saudi Arabia,9987.05,Panasonic,3/30/2025
82,3,P000082,Panasonic Lumix G9II Camera 82,Panasonic Lumix G9II Camera camera sold in Saudi Arabia,1672.89,Panasonic,6/24/2025
83,2,P000083,Sony ZV-1 Camera 83,Sony ZV-1 Camera camera sold in Saudi Arabia,175.84,Sony,8/13/2017
84,1,P000084,Samsung Galaxy Tab S9 FE 84,Samsung Galaxy Tab S9 FE tablet sold in Saudi Arabia,7187,Samsung,11/17/2016
85,1,P000085,Lenovo Yoga Slim 85,Lenovo Yoga Slim laptop sold in Saudi Arabia,703.11,Lenovo,5/9/2021
86,1,P000086,Adidas Adizero Running Shoes 86,Adidas Adizero Running Shoes footwear sold in Saudi Arabia,7744.51,Adidas,6/15/2016
87,3,P000087,Philips Juicer 87,Philips Juicer kitchen or home appliance sold in Saudi Arabia,4435.28,Philips,5/12/2026
88,3,P000088,Samsung Galaxy Watch6 88,Samsung Galaxy Watch6 product sold in Saudi Arabia,8654.14,Samsung,10/21/2023
89,4,P000089,Philips Food Processor 89,Philips Food Processor kitchen or home appliance sold in Saudi Arabia,1321.05,Philips,9/8/2017
90,3,P000090,Lenovo Yoga 9i Laptop 90,Lenovo Yoga 9i Laptop laptop sold in Saudi Arabia,7050.17,Lenovo,4/29/2022
91,2,P000091,Xiaomi POCO F6 Pro 91,Xiaomi POCO F6 Pro smartphone sold in Saudi Arabia,2028.78,Xiaomi,11/14/2024
92,3,P000092,Sony FE 24-70mm Lens 92,Sony FE 24-70mm Lens camera lens sold in Saudi Arabia,2689.32,Sony,7/7/2019
93,1,P000093,Philips Coffee Maker 93,Philips Coffee Maker kitchen or home appliance sold in Saudi Arabia,2592.15,Philips,9/26/2017
94,1,P000094,Xiaomi POCO X6 Pro 94,Xiaomi POCO X6 Pro smartphone sold in Saudi Arabia,4404.82,Xiaomi,10/29/2021
95,5,P000095,Sony FE 50mm Lens 95,Sony FE 50mm Lens camera lens sold in Saudi Arabia,6097.17,Sony,2/15/2017
96,2,P000096,Lenovo IdeaPad Slim 96,Lenovo IdeaPad Slim laptop sold in Saudi Arabia,9620.83,Lenovo,3/2/2021
97,5,P000097,Dell Precision 5680 Workstation 97,Dell Precision 5680 Workstation laptop sold in Saudi Arabia,11372.19,Dell,5/19/2018
98,5,P000098,Sony FE 70-200mm Lens 98,Sony FE 70-200mm Lens camera lens sold in Saudi Arabia,5640.97,Sony,6/13/2020
99,5,P000099,HP ProBook 450 Laptop 99,HP ProBook 450 Laptop laptop sold in Saudi Arabia,5311.42,HP,4/15/2025
100,5,P000100,Apple MacBook Air M3 100,Apple MacBook Air M3 laptop sold in Saudi Arabia,7268.99,Apple,9/1/2018
101,5,P000101,Canon EOS R8 Camera 101,Canon EOS R8 Camera camera sold in Saudi Arabia,779.65,Canon,8/3/2023
102,5,P000102,HP Omen 16 Gaming Laptop 102,HP Omen 16 Gaming Laptop laptop sold in Saudi Arabia,3170.88,HP,8/16/2019
103,2,P000103,HP Victus 15 Gaming Laptop 103,HP Victus 15 Gaming Laptop laptop sold in Saudi Arabia,10228.61,HP,9/30/2017
104,3,P000104,Lenovo IdeaPad Gaming 104,Lenovo IdeaPad Gaming laptop sold in Saudi Arabia,11757.51,Lenovo,7/8/2020
105,2,P000105,Apple MacBook Pro 105,Apple MacBook Pro laptop sold in Saudi Arabia,877.53,apple,9/2/2025
106,5,P000106,Nike Jordan 1 Shoes 106,Nike Jordan 1 Shoes footwear sold in Saudi Arabia,677.69,Nike,10/17/2017
107,3,P000107,HP ZBook Firefly Workstation 107,HP ZBook Firefly Workstation laptop sold in Saudi Arabia,2099.46,HP,7/21/2024
108,4,P000108,Dell Alienware m16 Laptop 108,Dell Alienware m16 Laptop laptop sold in Saudi Arabia,478.72,Dell,10/17/2019
109,2,P000109,Sony WH-1000XM5 Headphones 109,Sony WH-1000XM5 Headphones headphones sold in Saudi Arabia,11950.19,Sony,8/28/2020
110,5,P000110,LG UltraGear 32 Monitor 110,LG UltraGear 32 Monitor monitor sold in Saudi Arabia,8679.32,LG,7/14/2016
111,4,P000111,LG UltraWide 34 Monitor 111,LG UltraWide 34 Monitor monitor sold in Saudi Arabia,8225.86,LG,6/9/2023
112,4,P000112,Adidas Duramo Running Shoes 112,Adidas Duramo Running Shoes footwear sold in Saudi Arabia,3798,Adidas,1/13/2018
113,4,P000113,Huawei MateBook 113,Huawei MateBook laptop sold in Saudi Arabia,10483.11,Huawei,9/10/2025
114,2,P000114,Canon EOS R50 Camera 114,Canon EOS R50 Camera camera sold in Saudi Arabia,7487.06,Canon,11/9/2025
115,2,P000115,Canon EOS 90D Camera 115,Canon EOS 90D Camera camera sold in Saudi Arabia,6567.01,Canon,7/14/2021
116,4,P000116,Xiaomi Pad 116,Xiaomi Pad tablet sold in Saudi Arabia,10905.44,Xiaomi,6/18/2017
117,3,P000117,IKEA LACK Coffee Table 117,IKEA LACK Coffee Table furniture sold in Saudi Arabia,9643.19,IKEA,2/25/2023
118,5,P000118,Philips Espresso Machine 118,Philips Espresso Machine kitchen or home appliance sold in Saudi Arabia,1793.08,Philips,10/26/2021
119,5,P000119,Nike Jordan 4 Shoes 119,Nike Jordan 4 Shoes footwear sold in Saudi Arabia,6734.71,nike,1/31/2023
120,2,P000120,IKEA LACK Side Table 120,IKEA LACK Side Table furniture sold in Saudi Arabia,8121.1,IKEA,4/3/2018
121,3,P000121,Nike Dri-FIT T-Shirt 121,Nike Dri-FIT T-Shirt apparel sold in Saudi Arabia,8337.97,Nike,8/10/2022
122,5,P000122,Lenovo Legion 5 Gaming Laptop 122,Lenovo Legion 5 Gaming Laptop laptop sold in Saudi Arabia,2479.85,Lenovo,5/25/2019
123,3,P000123,Panasonic Lumix 20-60mm Lens 123,Panasonic Lumix 20-60mm Lens camera sold in Saudi Arabia,2405.03,Panasonic,9/29/2019
124,1,P000124,Xiaomi Redmi Pad SE 124,Xiaomi Redmi Pad SE smartphone sold in Saudi Arabia,10699.03,Xiaomi,1/14/2019
125,1,P000125,Xiaomi Mi Band 125,Xiaomi Mi Band smartwatch sold in Saudi Arabia,10783.95,Xiaomi,5/28/2017
126,5,P000126,Apple MacBook Pro 126,Apple MacBook Pro laptop sold in Saudi Arabia,9254.99,Apple,1/28/2020
127,3,P000127,Huawei Watch GT 127,Huawei Watch GT smartwatch sold in Saudi Arabia,2889.84,Huawei,6/10/2023
128,3,P000128,IKEA HEMNES TV Bench 128,IKEA HEMNES TV Bench television sold in Saudi Arabia,0,IKEA,11/28/2022
129,5,P000129,Nike Sportswear T-Shirt 129,Nike Sportswear T-Shirt apparel sold in Saudi Arabia,2110.14,Nike,9/20/2022
130,3,P000130,Lenovo Legion Pro 130,Lenovo Legion Pro laptop sold in Saudi Arabia,6077.82,Lenovo,1/29/2024
131,3,P000131,Xiaomi Watch S3 131,Xiaomi Watch S3 smartwatch sold in Saudi Arabia,2127.57,Xiaomi,11/14/2016
132,4,P000132,HP LaserJet Pro Printer 132,HP LaserJet Pro Printer printer sold in Saudi Arabia,9125.16,HP,12/6/2023
133,1,P000133,Philips Steam Iron 133,Philips Steam Iron kitchen or home appliance sold in Saudi Arabia,10924.64,Philips,11/1/2024
134,5,P000134,Sony WH-CH720N Headphones 134,Sony WH-CH720N Headphones headphones sold in Saudi Arabia,1333.56,Sony,10/7/2018
135,4,P000135,Canon PowerShot G7 X Camera 135,Canon PowerShot G7 X Camera camera sold in Saudi Arabia,3996.33,Canon,3/19/2019
136,2,P000136,Panasonic Lumix 50mm Lens 136,Panasonic Lumix 50mm Lens camera sold in Saudi Arabia,10290.96,Panasonic,12/5/2017
137,3,P000137,LG Gram 14 Laptop 137,LG Gram 14 Laptop laptop sold in Saudi Arabia,6094.15,LG,5/2/2024
138,2,P000138,Sony WF-1000XM5 Earbuds 138,Sony WF-1000XM5 Earbuds wireless earbuds sold in Saudi Arabia,8607.13,Sony,4/20/2022
139,5,P000139,Sony LinkBuds S Earbuds 139,Sony LinkBuds S Earbuds wireless earbuds sold in Saudi Arabia,9861.9,Sony,2/11/2020
140,2,P000140,Xiaomi Redmi Watch 140,Xiaomi Redmi Watch smartphone sold in Saudi Arabia,3857.11,Xiaomi,11/3/2021
141,1,P000141,IKEA HEMNES Bedside Table 141,IKEA HEMNES Bedside Table product sold in Saudi Arabia,2876.71,IKEA,1/5/2022
142,3,P000142,Samsung Galaxy Watch7 142,Samsung Galaxy Watch7 product sold in Saudi Arabia,5771.68,Samsung,5/17/2022
143,2,P000143,Philips Garment Steamer 143,Philips Garment Steamer kitchen or home appliance sold in Saudi Arabia,8376.29,Philips,8/22/2019
144,4,P000144,Canon PowerShot V10 Camera 144,Canon PowerShot V10 Camera camera sold in Saudi Arabia,4823.1,Canon,1/25/2024
145,4,P000145,Adidas Terrex Hiking Shoes 145,Adidas Terrex Hiking Shoes footwear sold in Saudi Arabia,5582.77,Adidas,8/13/2025
146,5,P000146,HP OfficeJet Pro Printer 146,HP OfficeJet Pro Printer printer sold in Saudi Arabia,3463.65,HP,5/31/2020
147,2,P000147,Nike Club Fleece Hoodie 147,Nike Club Fleece Hoodie apparel sold in Saudi Arabia,5678.12,Nike,2/28/2024
148,2,P000148,Apple iMac 24-inch 148,Apple iMac 24-inch product sold in Saudi Arabia,8774.74,Apple,8/1/2024
149,3,P000149,Nike Tech Fleece Hoodie 149,Nike Tech Fleece Hoodie apparel sold in Saudi Arabia,11852.23,Nike,8/27/2022
150,2,P000150,Huawei Watch Fit 150,Huawei Watch Fit smartwatch sold in Saudi Arabia,5761.39,Huawei,2/11/2021
151,5,P000151,HP DeskJet Ink Printer 151,HP DeskJet Ink Printer printer sold in Saudi Arabia,1214.5,HP,6/13/2017
152,2,P000152,LG Gram 16 Laptop 152,LG Gram 16 Laptop laptop sold in Saudi Arabia,7143.26,LG,9/19/2016
153,4,P000153,Sony Xperia 1 V 153,Sony Xperia 1 V smartphone sold in Saudi Arabia,6516.11,Sony,11/7/2020
154,1,P000154,Samsung Galaxy Buds2 Pro 154,Samsung Galaxy Buds2 Pro product sold in Saudi Arabia,1353.34,Samsung,11/9/2021
155,3,P000155,Samsung Galaxy Buds FE 155,Samsung Galaxy Buds FE wireless earbuds sold in Saudi Arabia,6318.06,Samsung,4/2/2019
156,2,P000156,Samsung Odyssey G5 Monitor 156,Samsung Odyssey G5 Monitor monitor sold in Saudi Arabia,3158.09,Samsung,10/14/2024
157,5,P000157,LG Gram 17 Laptop 157,LG Gram 17 Laptop laptop sold in Saudi Arabia,4045.32,LG,5/13/2026
158,4,P000158,Adidas Predator Football Boots 158,Adidas Predator Football Boots footwear sold in Saudi Arabia,7349.27,Adidas,2/2/2017
159,5,P000159,Xiaomi Buds 5 Pro 159,Xiaomi Buds 5 Pro wireless earbuds sold in Saudi Arabia,5921.08,Xiaomi,6/10/2024
160,1,P000160,Dell Alienware x14 Laptop 160,Dell Alienware x14 Laptop laptop sold in Saudi Arabia,11673.6,Dell,9/29/2019
161,1,P000161,Philips Vacuum Cleaner 161,Philips Vacuum Cleaner vacuum cleaner sold in Saudi Arabia,10384.88,Philips,9/9/2022
162,4,P000162,LG XBOOM Bluetooth Speaker 162,LG XBOOM Bluetooth Speaker audio device sold in Saudi Arabia,7184.81,LG,12/24/2024
163,4,P000163,Panasonic Eneloop Batteries 163,Panasonic Eneloop Batteries camera or printer accessory sold in Saudi Arabia,5077.17,Panasonic,4/26/2023
164,3,P000164,Apple Mac mini 164,Apple Mac mini product sold in Saudi Arabia,9994.44,Apple,5/31/2018
165,4,P000165,Huawei FreeBuds Pro 165,Huawei FreeBuds Pro wireless earbuds sold in Saudi Arabia,4927.32,Huawei,5/20/2021
166,3,P000166,Philips Air Purifier 166,Philips Air Purifier air treatment appliance sold in Saudi Arabia,11889.71,Philips,12/23/2025
167,2,P000167,HP Smart Tank Printer 167,HP Smart Tank Printer printer sold in Saudi Arabia,10888.92,HP,2/23/2024
168,4,P000168,Philips Humidifier 168,Philips Humidifier air treatment appliance sold in Saudi Arabia,8010.79,Philips,10/17/2024
169,3,P000169,IKEA PAX Wardrobe 169,IKEA PAX Wardrobe furniture sold in Saudi Arabia,989.7,IKEA,7/5/2017
170,3,P000170,Panasonic Eneloop Charger 170,Panasonic Eneloop Charger computer accessory sold in Saudi Arabia,5132.96,Panasonic,7/20/2018
171,1,P000171,Apple Mac Studio 171,Apple Mac Studio product sold in Saudi Arabia,9069.09,Apple,5/7/2026
172,4,P000172,Nike Running Jacket 172,Nike Running Jacket apparel sold in Saudi Arabia,9159.11,Nike,6/26/2016
173,3,P000173,Apple iPad Pro 173,Apple iPad Pro tablet sold in Saudi Arabia,6785.8,Apple,2/8/2019
174,5,P000174,Dell G15 Gaming Laptop 174,Dell G15 Gaming Laptop laptop sold in Saudi Arabia,6565.1,Dell,8/4/2017
175,2,P000175,Adidas X Crazyfast Football Boots 175,Adidas X Crazyfast Football Boots footwear sold in Saudi Arabia,2923.01,Adidas,4/3/2019
176,1,P000176,Apple iPad Pro 176,Apple iPad Pro tablet sold in Saudi Arabia,741.12,Apple,8/11/2022
177,4,P000177,Samsung Odyssey G7 Monitor 177,Samsung Odyssey G7 Monitor monitor sold in Saudi Arabia,11589.46,Samsung,12/20/2023
178,4,P000178,Sony Xperia 10 V 178,Sony Xperia 10 V smartphone sold in Saudi Arabia,9042.93,Sony,1/27/2017
179,5,P000179,LG Tone Free Earbuds 179,LG Tone Free Earbuds wireless earbuds sold in Saudi Arabia,2351.06,LG,3/14/2020
180,1,P000180,HP E24 G5 Monitor 180,HP E24 G5 Monitor monitor sold in Saudi Arabia,8990.04,HP,11/3/2018
181,2,P000181,Dell UltraSharp U2723QE Monitor 181,Dell UltraSharp U2723QE Monitor monitor sold in Saudi Arabia,673.97,Dell,4/15/2019
182,2,P000182,Huawei FreeBuds SE 182,Huawei FreeBuds SE wireless earbuds sold in Saudi Arabia,2192.51,Huawei,4/22/2024
183,4,P000183,Panasonic Microwave Oven 183,Panasonic Microwave Oven microwave oven sold in Saudi Arabia,9323.94,Panasonic,6/12/2022
184,3,P000184,IKEA BRIMNES Wardrobe 184,IKEA BRIMNES Wardrobe furniture sold in Saudi Arabia,1178.98,IKEA,11/17/2020
185,4,P000185,Dell UltraSharp U3223QE Monitor 185,Dell UltraSharp U3223QE Monitor monitor sold in Saudi Arabia,5405.05,Dell,9/30/2017
186,1,P000186,Panasonic Rice Cooker 186,Panasonic Rice Cooker kitchen or home appliance sold in Saudi Arabia,4187.71,Panasonic,10/22/2025
187,2,P000187,Sony Bravia XR OLED TV 187,Sony Bravia XR OLED TV television sold in Saudi Arabia,9697.9,Sony,10/9/2025
188,1,P000188,Nike Windrunner Jacket 188,Nike Windrunner Jacket apparel sold in Saudi Arabia,2219,Nike,8/2/2019
189,1,P000189,Nike Training Shorts 189,Nike Training Shorts apparel sold in Saudi Arabia,7059.95,Nike,7/1/2020
190,2,P000190,Xiaomi Buds 4 Active 190,Xiaomi Buds 4 Active wireless earbuds sold in Saudi Arabia,10109.11,Xiaomi,8/20/2021
191,1,P000191,Xiaomi Robot Vacuum S10 191,Xiaomi Robot Vacuum S10 vacuum cleaner sold in Saudi Arabia,7295.44,Xiaomi,8/19/2021
192,3,P000192,Panasonic Bread Maker 192,Panasonic Bread Maker kitchen or home appliance sold in Saudi Arabia,6453.56,Panasonic,10/19/2020
193,4,P000193,HP M27f Monitor 193,HP M27f Monitor monitor sold in Saudi Arabia,4504.23,HP,12/14/2024
194,4,P000194,Huawei FreeClip Earbuds 194,Huawei FreeClip Earbuds wireless earbuds sold in Saudi Arabia,10396.37,Huawei,4/13/2023
195,1,P000195,Canon RF 24-70mm Lens 195,Canon RF 24-70mm Lens camera lens sold in Saudi Arabia,7706.42,Canon,12/18/2021
196,5,P000196,LG InstaView Refrigerator 196,LG InstaView Refrigerator refrigerator sold in Saudi Arabia,10042.25,LG,3/8/2017
197,4,P000197,Lenovo ThinkBook 14 Laptop 197,Lenovo ThinkBook 14 Laptop laptop sold in Saudi Arabia,11202.36,Lenovo,5/14/2019
198,5,P000198,HP Omen 27 Monitor 198,HP Omen 27 Monitor laptop sold in Saudi Arabia,1860.42,HP,6/14/2025
199,2,P000199,Nike Joggers 199,Nike Joggers apparel sold in Saudi Arabia,4610.28,Nike,6/7/2021
200,1,P000200,Huawei WiFi AX3 Router 200,Huawei WiFi AX3 Router networking device sold in Saudi Arabia,1808.31,Huawei,4/7/2023
201,1,P000201,LG DoorCooling Refrigerator 201,LG DoorCooling Refrigerator refrigerator sold in Saudi Arabia,9469.16,LG,8/16/2017
