ProductID,SupplierID,Availability,AgreementPrice
36,241,Available,914.19
36,129,Out of Stock,7808.53
37,35,Limited,4207.45
38,17,available,698.26
39,177,available,5876.56
39,212,available,91.45
39,207,Out of Stock,8766.82
40,46,Available,4946.85
40,147,available,1984.33
41,107,Available,4533.63
41,200,Available,4393.48
41,149,OUT OF STOCK,6586.07
41,101,OUT OF STOCK,5801.21
41,66,Available,932.18
42,98,available,7510.74
42,214,Limited,8113.48
43,241,Available,7290.53
43,60,available,6502.24
44,62,OUT OF STOCK,8634.33
44,43,available,968.05
44,183,Available,0
44,192,OUT OF STOCK,517.14
44,187,available,4282.28
45,114,Available,2600.81
45,209,available,4536.83
45,226,Out of Stock,1652.74
46,133,OUT OF STOCK,16.29
47,137,Available,4107.29
48,92,Available,1002.97
48,131,Limited,5279.19
48,243,Out of Stock,5729.19
48,234,Limited,8378.02
48,247,OUT OF STOCK,8955.86
49,87,Available,3594.58
49,89,Limited,3062.38
49,55,OUT OF STOCK,3276.37
49,3,available,3803.94
50,246,Available,3867.72
50,25,available,1906.56
50,96,available,5944.45
50,3,OUT OF STOCK,7940.34
50,100,Limited,5430.88
51,196,available,2248.53
51,31,Limited,8678.96
51,129,Available,944.96
51,40,Out of Stock,8350.22
52,146,OUT OF STOCK,1050.71
53,95,Out of Stock,6848.43
53,185,Limited,2167.85
54,9,Limited,7358.99
55,240,available,8629.09
56,127,OUT OF STOCK,4839.63
56,138,Out of Stock,1451.93
56,87,Available,288.61
57,200,Out of Stock,4767.88
57,128,OUT OF STOCK,3107.72
57,192,Limited,405.82
57,38,Available,973.21
57,210,available,3594.8
58,25,Limited,4385.63
58,234,Limited,1535.46
59,234,Limited,7042.06
59,42,OUT OF STOCK,2473.31
59,155,Limited,7622.85
59,68,Available,4491.61
60,86,Limited,7281.07
60,68,Out of Stock,2728.31
61,60,Limited,6595.61
61,93,OUT OF STOCK,6372.37
61,103,Limited,2396.26
62,74,Limited,7568.39
63,186,Available,5762.08
63,207,Available,6779.8
63,93,Out of Stock,8248.57
63,27,Limited,693.24
63,136,OUT OF STOCK,7424.4
64,212,Available,6659.26
64,205,Out of Stock,7718.23
64,12,Out of Stock,7116.76
65,106,Available,1279.56
65,87,Available,7899.33
65,108,Available,8921.73
65,66,Available,8163.1
65,198,Available,3422.77
66,4,available,6786.59
66,191,Limited,1465.71
66,89,available,4633.69
67,52,available,6413.46
67,67,OUT OF STOCK,8259.81
67,167,available,3480.18
68,169,Out of Stock,2197.74
68,184,Available,3203.03
68,168,available,709.64
68,58,Available,3777.12
69,240,Available,8223.46
70,42,Available,2775
70,196,Available,2346.26
70,27,available,8884.42
70,207,OUT OF STOCK,59.43
71,39,Out of Stock,3391.31
71,11,Out of Stock,596.28
72,135,Available,6284.21
73,103,OUT OF STOCK,1618.36
74,52,Limited,1739.69
74,144,OUT OF STOCK,3321.98
74,101,Limited,1262.08
74,237,OUT OF STOCK,4412.04
74,138,OUT OF STOCK,5359.26
75,5,Out of Stock,7823.16
75,161,Available,6623.66
75,7,Limited,2229.66
76,96,Out of Stock,8472.63
77,19,Out of Stock,7183.85
77,240,OUT OF STOCK,0
77,202,Limited,7539.43
77,81,Limited,7661.08
78,130,available,1262.61
78,184,OUT OF STOCK,5224.99
78,77,Out of Stock,4023.2
79,182,Available,8936.72
80,43,OUT OF STOCK,7356.53
81,171,available,1902.87
82,148,Available,6076.35
82,50,Out of Stock,8523.47
82,139,available,8754.28
82,62,Available,8665.27
83,164,OUT OF STOCK,3891.28
83,42,OUT OF STOCK,7539.63
84,60,Out of Stock,480.58
85,126,Available,4567.49
85,181,Limited,8331.06
85,215,Out of Stock,832.96
85,146,Available,5038.89
85,27,OUT OF STOCK,3899.09
86,1,available,1901.9
87,163,OUT OF STOCK,8716.06
87,138,Out of Stock,3389.78
87,62,Out of Stock,2308.38
87,61,Available,5836.47
87,118,Out of Stock,2792
88,128,Limited,4425.09
88,132,available,8113.87
88,28,Out of Stock,5671.62
89,132,available,3140.55
89,36,available,7398.21
90,131,Available,588.67
90,45,Available,6890.57
90,249,Available,2733.59
91,50,available,4376.24
91,12,OUT OF STOCK,2103.92
91,82,Limited,7364.98
92,196,Out of Stock,8271.19
92,64,Limited,584.42
93,57,Out of Stock,625.5
93,227,OUT OF STOCK,6355.22
93,200,Out of Stock,366.15
94,25,Limited,2158.9
94,106,Available,8657.3
95,11,available,4274.93
95,7,OUT OF STOCK,5383.79
95,68,available,1443.67
95,217,OUT OF STOCK,5329.05
95,109,OUT OF STOCK,59.18
96,161,Out of Stock,5602.53
96,181,Available,1834.77
97,210,OUT OF STOCK,1106.54
97,98,Limited,767.17
97,27,Out of Stock,7876.17
97,83,Out of Stock,940.48
97,144,Limited,6732.93
98,31,OUT OF STOCK,8478.43
98,163,available,585.66
98,69,Limited,8242.92
98,227,Limited,7411.7
98,114,OUT OF STOCK,4269.75
99,96,Limited,6994.32
99,15,Limited,2923.72
99,114,OUT OF STOCK,4247.47
99,26,Limited,3384.42
100,247,Available,470.75
100,203,OUT OF STOCK,5522.9
100,27,available,4801.04
101,226,OUT OF STOCK,7286.94
101,162,Out of Stock,2154.79
101,101,Out of Stock,4232.54
101,50,Limited,4276.83
102,247,OUT OF STOCK,8029.19
102,182,Limited,8783.84
103,122,available,327.32
103,202,OUT OF STOCK,4821.21
103,8,Limited,965.9
103,158,Out of Stock,3590.69
104,164,Limited,4961.96
104,182,Available,7021.82
105,35,OUT OF STOCK,1041.75
105,62,available,5904.71
105,79,Out of Stock,4536.09
105,240,Out of Stock,1937.96
105,33,Limited,4942.6
106,42,Limited,7594.56
106,165,Available,5241.36
106,211,available,5328.56
107,89,available,8870.72
107,144,Available,7210.58
107,67,Limited,2607.62
107,169,OUT OF STOCK,7128.81
107,125,Limited,7992.61
108,186,Limited,1400.1
109,141,Limited,8638.78
109,238,OUT OF STOCK,606.64
109,157,Limited,8786.4
110,36,OUT OF STOCK,6061.35
110,18,Limited,8961.61
110,93,OUT OF STOCK,7130.85
110,174,available,3842.27
110,242,Available,5331.06
111,247,Available,4299.05
112,193,OUT OF STOCK,6029.98
113,160,OUT OF STOCK,6700.4
113,146,OUT OF STOCK,7122.9
114,139,OUT OF STOCK,6305.03
114,48,available,69.89
114,137,Available,3284.31
114,110,Limited,8368.97
114,33,OUT OF STOCK,7313.1
115,246,Out of Stock,5819.12
115,52,Limited,4440.84
115,90,Limited,7774.33
115,67,available,663.37
115,86,available,4839.42
116,105,Limited,3674.83
116,94,Available,3588.42
116,138,available,3020.74
117,103,available,5687.26
117,148,OUT OF STOCK,6181.7
118,155,available,3435.4
118,220,available,6329.77
118,29,Out of Stock,7982.94
118,86,Out of Stock,2856.38
119,143,available,5002.71
119,70,available,5913.12
119,211,OUT OF STOCK,3324.05
120,21,OUT OF STOCK,1960.01
120,200,Out of Stock,8632
120,114,Out of Stock,4128.57
120,11,OUT OF STOCK,311.02
120,46,available,8597.32
121,172,Available,5901.49
121,176,OUT OF STOCK,0
122,151,OUT OF STOCK,8558.94
123,48,Limited,5906.73
123,26,available,1037.48
124,104,OUT OF STOCK,8094.95
125,190,Limited,3581.02
125,91,Available,4359.3
126,227,available,2787.83
126,93,available,8184.2
126,186,Limited,2179.23
126,139,Out of Stock,7609
127,244,available,7917.03
127,181,available,1800.94
127,73,available,6944.4
127,199,OUT OF STOCK,1199.69
127,104,Limited,952.61
128,170,Available,1224.04
128,210,available,3380.59
128,32,Out of Stock,1182.42
128,145,available,2854.05
128,30,Available,1491.73
129,226,Out of Stock,6490.56
129,209,available,5840.41
129,214,Available,6263.33
130,157,OUT OF STOCK,3378.83
131,146,Out of Stock,4155.77
131,17,Available,4639.75
131,171,available,8831.71
131,81,Available,1249.84
132,111,Available,1831.74
133,204,Available,3650.36
134,3,OUT OF STOCK,6935.89
134,140,Limited,7079.82
134,14,OUT OF STOCK,4622.88
135,80,OUT OF STOCK,8073.35
135,202,Limited,5965.21
135,174,available,7216.27
135,177,Limited,5281.89
136,207,OUT OF STOCK,7551.3
136,86,Limited,8868.55
137,62,available,8059.97
137,180,Out of Stock,5585.71
137,215,available,6321.55
138,65,available,7393.31
138,37,Available,4488.83
138,238,OUT OF STOCK,7513.88
138,8,Available,6141.77
139,193,Limited,7015.29
139,162,Available,7558.88
140,39,Out of Stock,1669.49
140,100,Out of Stock,3671.05
140,22,Out of Stock,8441.21
141,155,Limited,492.27
141,166,Available,145.09
141,120,OUT OF STOCK,3967.83
141,143,Limited,6100.58
141,175,available,5126.77
142,155,OUT OF STOCK,4694.45
142,33,Out of Stock,3339.86
142,206,OUT OF STOCK,5073.94
143,124,Available,345.95
143,203,Available,78.94
143,52,Available,3300.33
144,246,OUT OF STOCK,610.61
144,117,available,2688.7
144,106,Out of Stock,8971.1
144,32,Available,8763.66
144,240,OUT OF STOCK,5465.91
145,60,OUT OF STOCK,8217.68
145,29,available,1045.14
145,175,Available,5997.98
146,164,OUT OF STOCK,295.93
146,134,available,2132.46
146,21,Out of Stock,4666
146,148,Out of Stock,5985.05
147,165,Available,7217.89
148,246,available,-5
149,112,OUT OF STOCK,7427.27
149,78,available,4299.39
149,163,Available,3215.62
149,249,Limited,1775.44
150,157,available,3101.31
150,133,Out of Stock,1843.08
150,6,Out of Stock,7767.47
151,244,OUT OF STOCK,1437
151,20,OUT OF STOCK,2753.57
151,19,Limited,2206.63
151,167,Limited,6741.31
151,46,Limited,3660.12
152,229,Out of Stock,7177.23
152,250,Out of Stock,1367.99
153,109,Available,8774.51
153,197,Available,3368.18
154,244,Available,2062.08
154,249,OUT OF STOCK,4799.76
155,61,Available,3597.53
155,62,Available,8254.95
155,41,available,2917.98
156,157,Available,7536.83
156,11,Available,6723.17
156,137,Limited,8064.27
156,187,Out of Stock,5828.61
156,26,Out of Stock,2614.41
157,244,Out of Stock,2345.92
158,174,Available,6220.46
158,218,available,8812.61
158,239,Available,2128.43
158,69,available,242.11
159,229,OUT OF STOCK,7868.84
160,226,OUT OF STOCK,7456.8
160,230,available,462.09
161,136,available,2259.82
161,21,available,7213.56
161,196,Limited,7754.49
162,175,Limited,6780.22
162,194,Available,1449.83
162,233,Out of Stock,7924.56
163,174,available,225.71
163,135,Out of Stock,2841.85
163,32,available,3373.88
164,10,Available,1487.12
165,243,OUT OF STOCK,4354.06
165,180,Limited,8593.44
166,141,Available,3749.52
166,163,OUT OF STOCK,8273.58
166,178,Out of Stock,5997.77
166,119,available,7638.6
167,174,Out of Stock,7929.04
168,67,Available,4619.11
168,23,OUT OF STOCK,3424.55
168,48,Available,2269.26
168,14,Available,3512.91
169,58,available,6607.86
169,13,OUT OF STOCK,1407.55
169,75,OUT OF STOCK,5920.61
170,66,Available,7066.24
170,156,Out of Stock,4669.19
171,1,Available,7552.63
171,46,OUT OF STOCK,2843.02
171,21,Out of Stock,5203.1
171,158,Limited,8201.78
172,5,Out of Stock,4802.91
173,63,Available,2725.15
173,9,OUT OF STOCK,2517.29
173,80,Available,3529.42
173,139,available,7921.06
173,35,available,2984.79
174,173,Available,1657.47
174,226,Available,406.01
174,155,Limited,8563.08
174,145,Available,8323.45
175,207,available,2338.08
175,152,Limited,2144.56
175,149,available,6143.39
175,39,OUT OF STOCK,8206.92
176,37,available,2959.39
177,10,Available,2029.01
178,47,Available,4563
178,242,OUT OF STOCK,3191.35
178,26,OUT OF STOCK,3952.77
178,110,OUT OF STOCK,642.54
179,240,OUT OF STOCK,4806.79
179,105,Available,4322.16
179,197,Limited,4098.34
180,11,Out of Stock,3305.9
180,148,OUT OF STOCK,1568.18
181,148,Limited,5590.21
181,116,Out of Stock,6420.77
181,73,available,3044.51
181,245,Out of Stock,5738.21
182,74,Limited,44.72
182,197,available,4780.95
182,235,Limited,2614.71
182,205,available,2270.43
183,118,OUT OF STOCK,2143.84
184,160,available,1563.22
184,104,Limited,6594.51
184,121,Available,2937.76
184,131,available,583.65
184,249,available,2395.15
185,34,Out of Stock,2359.37
185,126,OUT OF STOCK,2679.58
185,57,OUT OF STOCK,2011.72
185,150,available,2454.59
186,206,Limited,7599.43
187,199,Available,5816.03
187,1,Out of Stock,3561.8
187,27,Out of Stock,2818.04
188,132,available,7347.67
188,204,OUT OF STOCK,492.58
188,52,Out of Stock,3160.62
188,112,Available,914.72
188,207,OUT OF STOCK,3577.35
189,123,OUT OF STOCK,4720.82
189,176,Available,8468.02
189,4,OUT OF STOCK,8427.72
189,245,Available,6399.58
190,188,Limited,2926.01
190,127,Available,1658.38
191,95,Out of Stock,4565.97
191,231,Available,2912.51
191,192,available,434.73
191,78,Out of Stock,8080.8
191,210,Limited,7439.83
192,89,Limited,4697.59
192,225,Out of Stock,1612.63
192,65,available,6620.1
193,141,OUT OF STOCK,6572.42
193,174,OUT OF STOCK,7030.71
194,214,Limited,3228.88
195,100,Available,3403.03
196,234,OUT OF STOCK,7424.77
196,131,available,6046.55
196,92,Available,3152.31
196,17,available,3608.28
196,110,Out of Stock,2255.76
197,235,OUT OF STOCK,5919.01
198,144,Out of Stock,4278.05
198,85,Limited,1516.5
198,194,Available,6641.32
198,217,Out of Stock,7503.17
199,90,Limited,2304.39
199,146,available,6345.72
199,11,Available,5571.94
199,174,Out of Stock,5357.28
200,164,OUT OF STOCK,2165.34
200,178,Limited,6821.08
200,96,available,8000.46
201,248,available,218.15
201,208,Available,7702.08
201,20,Limited,6276.13
201,85,available,7064.43
202,196,Available,6800.71
203,231,OUT OF STOCK,494.76
203,109,Limited,1758.28
203,45,Available,6822.36
203,133,available,6817.87
204,99,Limited,4101.22
205,53,Out of Stock,110.57
206,127,OUT OF STOCK,5787.4
206,40,available,1240.25
206,87,OUT OF STOCK,1763.52
206,110,Out of Stock,3541.25
206,219,available,6720.99
207,24,Limited,5377.06
207,137,Available,7694.73
207,94,Out of Stock,4825.91
208,28,OUT OF STOCK,1877.63
208,204,Available,425.47
208,38,Available,2892.96
208,19,Out of Stock,446.56
208,246,Out of Stock,5085.36
209,182,Available,7567.28
209,135,Available,8346.31
209,109,OUT OF STOCK,606.93
210,98,Limited,5336.79
210,14,Out of Stock,3166.08
210,106,Out of Stock,2861.04
210,193,Out of Stock,8358.16
210,182,Available,4261.48
211,118,Limited,4295.3
211,140,Limited,7862.79
211,105,Available,4153.62
211,93,Limited,3549.25
212,64,available,5351.01
212,25,Out of Stock,7621.92
212,10,Out of Stock,7468.24
213,144,Available,3478.94
213,132,OUT OF STOCK,4721.78
213,95,available,952.86
214,162,Out of Stock,6155.22
214,122,Limited,5373.14
214,52,Available,7342.19
214,84,Limited,5448.09
215,123,OUT OF STOCK,3429.44
215,196,Available,1274.11
215,218,OUT OF STOCK,1610.12
216,172,Available,3245.6
216,189,available,7104.01
217,95,Available,7659.68
217,83,Available,7218.64
217,131,available,558
217,215,Available,3007.58
217,49,OUT OF STOCK,5878.89
218,58,Out of Stock,377.83
218,37,Limited,7972.89
218,112,Available,5496.39
218,162,available,8318.58
218,76,Limited,4718.2
219,226,OUT OF STOCK,2215.68
219,119,Limited,7397.28
219,194,Available,8354.97
219,114,available,6404.77
219,7,Out of Stock,6105.06
220,137,Out of Stock,5931.44
220,231,available,5839.6
220,149,Limited,2624.59
220,107,Out of Stock,7373.52
220,138,OUT OF STOCK,5844.66
221,196,OUT OF STOCK,8890.25
221,236,available,1614.91
221,9,Limited,1737.71
222,75,Available,7646.03
222,88,Out of Stock,4019.02
222,147,Out of Stock,6229.08
223,24,Limited,6058.94
223,199,available,6411.75
223,48,Available,1457.26
224,164,Available,715.29
224,95,Available,4271.31
224,93,Out of Stock,8976.55
225,133,OUT OF STOCK,5557.61
225,232,Out of Stock,5305.22
225,75,OUT OF STOCK,3878.65
226,98,available,5021.65
226,59,Out of Stock,128.43
226,169,Available,3281.35
226,128,OUT OF STOCK,7916.95
227,124,Out of Stock,4042.48
227,106,Limited,3705.43
227,92,available,7220.3
227,48,Limited,746.74
228,26,Available,302.85
228,184,Limited,4214.26
228,97,Out of Stock,2256.58
228,244,Available,8694.04
228,156,Available,6352.32
229,86,Out of Stock,6662.7
230,52,Available,336.56
230,43,available,2601.91
230,79,Out of Stock,218.33
230,226,Limited,3398.16
231,129,OUT OF STOCK,6351.69
231,232,available,-5
231,132,Out of Stock,2674.75
231,250,OUT OF STOCK,2590.15
232,1,Available,4669.45
233,129,available,1161.8
233,155,OUT OF STOCK,2097
234,24,available,4091.23
234,213,Limited,991.69
235,148,Out of Stock,7386.74
235,153,Available,2386.71
235,132,Available,4878.09
235,147,Out of Stock,4049.78
236,64,OUT OF STOCK,14.08
236,199,OUT OF STOCK,7998.04
237,240,Out of Stock,2013.55
237,19,Limited,3125.65
237,210,Limited,6870.92
238,165,Available,3357.57
238,52,OUT OF STOCK,8990.64
238,10,Limited,5804.96
238,138,Out of Stock,4676.55
239,54,Out of Stock,7933.65
239,227,Available,7105.79
239,128,available,435.9
239,88,Out of Stock,2607.83
239,151,Out of Stock,6609.71
240,157,Out of Stock,1589.4
240,69,Limited,7631.94
240,207,Out of Stock,3332.92
241,21,available,8683.4
242,153,OUT OF STOCK,1261.01
242,176,available,4341.15
243,76,available,8511.78
243,4,OUT OF STOCK,5477.5
243,5,Out of Stock,2161.74
244,70,OUT OF STOCK,5380.34
244,133,Limited,5314.22
244,139,Limited,7640.75
245,167,Available,1195.04
245,95,OUT OF STOCK,2079.21
245,88,OUT OF STOCK,818.52
245,189,Limited,7158.91
245,44,Out of Stock,633.72
246,231,Out of Stock,6230.69
246,97,Available,6454.32
246,23,Out of Stock,942.47
247,173,Limited,2388.8
247,247,OUT OF STOCK,2623.9
247,109,available,4072.55
247,250,available,1173.38
248,107,Limited,2751.96
248,29,Limited,1920.04
248,44,Limited,3261.92
248,196,Available,8321.74
248,182,OUT OF STOCK,5888.58
249,51,Out of Stock,4637.85
249,97,OUT OF STOCK,128.6
250,161,Available,5795.86
250,187,Available,7124.3
250,65,available,3751.94
250,131,Available,8137.92
250,103,OUT OF STOCK,6591.43
251,201,available,1194.92
251,224,available,5565.64
251,189,Limited,1228.24
251,225,Available,7445.57
252,183,OUT OF STOCK,3146.85
253,216,available,2084.2
253,60,available,4622.04
253,179,Out of Stock,2230
253,236,Limited,5736.02
253,160,available,8008.07
254,150,OUT OF STOCK,8209.43
254,91,Available,6123.11
254,79,Available,5276.7
255,70,available,3884.3
255,61,Available,8607.75
255,131,OUT OF STOCK,5857.88
256,51,Limited,5821.26
256,109,Limited,5377.4
257,27,Available,2588.21
258,121,OUT OF STOCK,4318.22
258,203,OUT OF STOCK,1713.93
258,88,OUT OF STOCK,3526.31
259,112,Limited,1330.73
259,58,Out of Stock,3260.56
259,197,available,4068.93
260,42,Available,4235.95
260,243,Limited,7305.65
260,212,Limited,7823.69
261,176,Limited,4933.18
261,183,available,7537.45
261,4,Out of Stock,6996.18
262,20,Out of Stock,7971.86
263,9,available,6014.25
263,145,Available,4239.94
264,151,OUT OF STOCK,1814.32
264,174,Available,5962.83
264,59,Out of Stock,4576.73
264,23,Available,6035.77
264,65,Available,1865.97
265,146,Available,6332.59
265,96,Available,5457.61
265,161,available,2292.69
265,181,Available,4371.39
266,136,Available,5894.42
266,226,Limited,937.44
266,119,Out of Stock,977.04
266,69,Limited,3606.02
267,151,Available,5143.22
267,57,Out of Stock,1140.72
268,167,Limited,6555.2
268,110,Available,614.51
268,2,OUT OF STOCK,4383.67
268,117,OUT OF STOCK,7645.15
268,192,available,4309.79
269,142,Available,4130.89
269,109,OUT OF STOCK,1947.85
270,158,OUT OF STOCK,956.81
270,14,OUT OF STOCK,7203.49
270,25,OUT OF STOCK,2452.01
270,7,Limited,4371.63
271,3,Out of Stock,2790.76
271,162,Limited,794.57
271,33,Out of Stock,8401
271,15,Limited,3991.52
272,127,Out of Stock,5656.51
273,199,OUT OF STOCK,8319.38
274,34,OUT OF STOCK,521.65
274,131,Out of Stock,6726.52
274,93,available,750.94
274,102,Limited,4165.47
274,151,OUT OF STOCK,3608.27
275,228,Limited,3918.23
275,74,Available,252.27
275,95,available,8740.28
275,65,OUT OF STOCK,6295.83
276,13,Available,6618.91
276,155,available,2882.71
277,83,available,6038.68
277,202,Out of Stock,1732.21
277,214,OUT OF STOCK,3457.6
277,212,available,6101.4
277,152,available,7139.75
278,197,available,6023.46
278,174,Available,1852.86
278,79,Out of Stock,4063.98
278,112,available,7428.68
279,64,OUT OF STOCK,8803.32
280,153,OUT OF STOCK,3878.62
280,229,Limited,6066.81
280,245,Limited,3219.96
280,160,Limited,1064.48
280,216,Available,7160.08
281,126,available,2374.12
281,113,Limited,616.31
282,224,available,2673.26
283,126,Out of Stock,6478.07
283,113,OUT OF STOCK,8883.86
284,110,available,1279.38
285,84,OUT OF STOCK,4889.25
285,241,Available,1986.41
285,46,available,2623.66
285,177,OUT OF STOCK,5275.23
286,179,Limited,6458.18
286,220,OUT OF STOCK,1401.49
286,124,available,4396.6
286,133,Limited,5989.58
286,113,available,5248.19
287,48,Out of Stock,5861.59
287,77,OUT OF STOCK,4542.92
287,126,Limited,6381.85
287,131,OUT OF STOCK,7228.65
288,170,OUT OF STOCK,3709.38
288,22,OUT OF STOCK,6216.41
288,175,Limited,6220.35
288,239,available,6651.56
289,164,OUT OF STOCK,6258.06
289,160,Out of Stock,7678.55
289,145,Available,8814.72
290,65,Out of Stock,6749.3
290,154,available,5145.52
290,206,Out of Stock,2810.07
290,149,Limited,6043.58
290,210,Limited,3417.49
291,210,available,2716.12
291,207,Out of Stock,3518.61
291,115,Limited,972.07
291,41,Available,6961.94
292,194,Available,6040.49
292,81,available,5846.05
292,171,Limited,8322.76
292,115,OUT OF STOCK,4613.42
292,73,Limited,1167.42
293,235,available,3228.02
293,174,OUT OF STOCK,5453.81
294,55,OUT OF STOCK,4802.12
294,7,Limited,8080.95
295,29,Out of Stock,7076.87
295,50,OUT OF STOCK,6559.43
295,145,OUT OF STOCK,3404.07
295,15,Limited,7699.96
296,183,Available,7919.36
296,108,Out of Stock,6212.83
296,76,Out of Stock,3626.25
297,211,available,7133.67
297,105,OUT OF STOCK,2536.63
297,223,OUT OF STOCK,5336.8
297,99,available,3123.59
298,249,Available,3521.68
299,184,OUT OF STOCK,3134.1
299,10,Out of Stock,8325.45
300,59,available,47.4
300,245,Available,1101.18
300,137,OUT OF STOCK,2920.2
301,31,OUT OF STOCK,8392.41
301,71,Limited,4281.26
301,96,available,6189.11
301,92,OUT OF STOCK,6215.43
301,130,Available,7171.38
302,179,Out of Stock,2324.93
302,39,available,4676.59
303,218,Out of Stock,1750.93
303,98,OUT OF STOCK,6129.82
304,225,Limited,4197.32
304,248,Out of Stock,5361.14
304,19,OUT OF STOCK,3899.43
304,84,Out of Stock,7705
305,13,Out of Stock,4463.48
305,98,Out of Stock,2325.31
305,29,Limited,2850.03
305,136,Available,2851.55
305,38,Limited,5722.5
306,142,Limited,7020.5
307,62,Available,5694.91
308,227,Out of Stock,8262.18
308,178,available,410.36
308,131,Available,1945.06
309,195,Out of Stock,4704.87
309,128,available,5061.68
309,151,OUT OF STOCK,1722.67
310,122,available,4957.37
310,105,Available,8100.89
310,44,Limited,6795.45
311,97,Out of Stock,1687.15
311,124,Limited,342.17
311,247,available,8724.3
312,245,OUT OF STOCK,1738.21
312,148,Available,7709.84
312,110,Available,2123.65
313,191,Out of Stock,2268.14
313,212,available,6865.57
313,30,OUT OF STOCK,5096.27
313,125,OUT OF STOCK,5079.41
313,58,Available,4865.69
314,183,Out of Stock,2299.6
314,178,Out of Stock,3840.95
315,223,Out of Stock,1613.73
315,138,Limited,5000.31
316,58,OUT OF STOCK,3228.3
316,164,available,2214.82
316,88,OUT OF STOCK,6665.72
316,197,available,2252.66
316,50,available,6530.03
317,131,available,2853.24
318,13,Available,1413.08
318,80,Limited,4461.93
319,170,Out of Stock,7865.44
319,195,Available,4416.04
319,1,Available,8284.7
319,219,available,4297.11
319,212,Available,4729.08
320,233,Limited,3226.79
321,229,Available,4584.41
321,51,available,3683.48
321,238,OUT OF STOCK,5279.27
321,240,available,2111.57
321,31,Available,3055.74
322,36,Out of Stock,8381.12
323,171,available,8688.31
323,37,Limited,3541.92
323,241,Available,3272.45
324,70,available,7805.26
324,197,Limited,3780.41
325,39,Available,8681.5
325,235,OUT OF STOCK,3033.79
325,125,Out of Stock,3383.98
325,187,Available,6728.27
325,148,Available,3973.3
326,117,Available,5165.7
326,33,Limited,924.06
327,74,Out of Stock,8068.94
327,82,OUT OF STOCK,3811.37
328,18,Available,4978.29
328,101,Limited,4241.61
328,107,available,5528.46
328,168,available,723.19
329,26,Limited,4964.17
329,43,Out of Stock,4516.02
329,87,Out of Stock,3498.22
330,128,available,3920.52
330,86,Available,1608.85
331,74,Available,7344.2
332,18,available,8642.39
332,159,Out of Stock,8366.58
332,208,available,4725.56
