OrderID,CustomerID,ShippingAddressID,ShippingCompanyID,OrderDate,OrderStatus,TotalAmount
41,4558,9106,4,5/7/2024,DELIVERED,6646.89
42,4038,8067,2,12/23/2022,Pending,9961.39
43,1687,3412,4,2/5/2023,Return Requested,7441.31
44,2239,4488,3,1/22/2023,Return Requested,10347.4
45,891,1808,6,3/30/2021,pending,6949.36
46,2512,5036,4,8/27/2024,Delivered,8469.63
47,4136,8268,5,11/23/2023,Return Requested,597.6
48,3166,6342,5,10/25/2024,Pending,2773.38
49,4598,9180,6,2/19/2024,DELIVERED,3508.19
50,3189,6388,5,1/11/2023,Return Requested,1003.51
51,4873,9716,3,5/23/2020,Return Requested,2831.85
52,4071,8138,4,7/19/2025,DELIVERED,1256.97
53,953,1925,5,9/20/2023,pending,3371.78
54,1252,2531,1,6/10/2021,Shipped,7646.43
55,3067,6145,4,12/24/2021,Shipped,4409.74
56,1198,2434,1,2/18/2021,Cancelled,0
57,3688,7369,4,2/12/2024,Shipped,4473.66
58,3098,6209,5,6/12/2020,Pending,2553.61
59,974,1972,5,8/27/2023,Shipped,3240.38
60,298,603,1,4/7/2023,pending,11243.02
61,1666,3371,1,2/16/2021,Return Requested,7794.02
62,1048,2113,1,7/6/2023,Shipped,7329.12
63,4949,9865,3,9/1/2021,DELIVERED,2095.11
64,4967,9894,4,7/15/2021,pending,8763.07
65,4615,9214,4,4/13/2024,pending,2002.66
66,2610,5234,3,4/13/2024,Pending,4584.49
67,749,1527,4,12/15/2023,pending,11874.8
68,2206,4428,4,12/6/2024,DELIVERED,7698
69,1671,3381,3,4/30/2022,Cancelled,0
70,3729,7452,1,5/7/2024,Cancelled,0
71,3313,6631,2,4/13/2022,DELIVERED,6705.55
72,4385,8769,5,9/23/2021,Pending,8231.14
73,4325,8645,2,2/22/2021,Cancelled,0
74,1884,3801,3,4/24/2024,Delivered,10122.08
75,4909,9784,4,1/4/2022,Cancelled,0
76,1198,2433,6,12/4/2024,Cancelled,0
77,2929,5859,2,8/10/2023,Delivered,9323.2
78,2553,5118,3,8/5/2022,Cancelled,0
79,3288,6587,4,10/21/2021,DELIVERED,2787.12
80,4739,9450,1,9/14/2025,Shipped,433.6
81,3984,7950,3,9/3/2024,DELIVERED,3819.66
82,4096,8185,2,3/1/2021,Return Requested,3249.5
83,898,1821,6,1/23/2024,Pending,2571.24
84,1549,3126,3,10/19/2021,Shipped,11317.77
85,1200,2438,6,1/23/2024,Return Requested,10522.59
86,717,1459,2,12/2/2024,Cancelled,0
87,3089,6191,1,1/16/2023,Pending,3810.4
88,1688,3413,1,4/11/2023,Delivered,7882.49
89,4827,9626,3,12/26/2021,Shipped,4777.8
90,1956,3948,2,1/21/2024,DELIVERED,10978.84
91,2317,4644,2,5/25/2023,Pending,5533.28
92,3701,7394,1,9/23/2021,pending,3215.32
93,4383,8764,4,12/10/2023,Shipped,2997.2
94,3428,6849,3,6/18/2024,Delivered,6758.35
95,4600,9185,4,7/18/2022,Return Requested,3189.76
96,687,1396,4,7/28/2021,Delivered,7035.8
97,5006,9970,6,1/10/2021,Delivered,10778.98
98,4880,9730,1,11/29/2024,Delivered,4822.84
99,3410,6817,5,2/5/2024,Pending,2670.88
100,1606,3251,6,7/21/2021,Delivered,11970.57
101,600,1216,1,7/25/2023,Shipped,6138.84
102,26,51,3,3/20/2023,DELIVERED,1136.37
103,4413,8828,5,10/1/2025,Return Requested,613.04
104,4165,8330,3,4/13/2022,DELIVERED,1360.31
105,1517,3057,6,3/27/2021,Pending,7547.98
106,3682,7355,6,11/4/2021,Delivered,9515.35
107,2055,4134,3,5/23/2021,Shipped,5094.81
108,1089,2207,4,12/14/2022,Return Requested,809.16
109,2628,5272,3,12/26/2023,Delivered,4610.35
110,3665,7318,2,9/1/2021,Cancelled,0
111,2250,4512,3,6/3/2021,DELIVERED,11953.65
112,4613,9211,3,12/21/2022,Pending,6372.92
113,2526,5065,6,4/28/2022,Shipped,11654.39
114,3865,7715,5,3/10/2021,Delivered,10336.32
115,767,1566,6,4/16/2023,pending,187.2
116,3036,6078,3,7/1/2020,DELIVERED,8662.63
117,3908,7792,5,7/28/2023,pending,8196.44
118,4781,9539,1,4/3/2021,Delivered,6466.8
119,419,837,5,11/4/2021,Shipped,3238.56
120,1573,3174,5,5/2/2022,Pending,7709.49
121,1300,2623,4,11/10/2023,Cancelled,0
122,4486,8965,5,10/3/2022,DELIVERED,1383.05
123,2506,5026,5,1/14/2021,Shipped,5245.44
124,3978,7937,1,1/10/2024,Pending,5472
125,3970,7921,1,8/25/2024,Delivered,11448.1
126,3754,7501,3,4/15/2022,Shipped,10516.44
127,3917,7816,2,2/23/2022,Pending,3197.5
128,35,73,6,2/18/2023,Return Requested,6032
129,948,1916,4,6/20/2024,Return Requested,2184.89
130,1704,3441,5,4/4/2022,DELIVERED,10955.9
131,2986,5969,1,7/17/2021,pending,10452.7
132,3493,6984,3,6/19/2021,Pending,3616.42
133,1170,2370,4,10/4/2021,Pending,7685.45
134,3485,6966,1,4/13/2022,Pending,7327.19
135,3638,7268,2,3/1/2023,Shipped,1876.43
136,2050,4124,3,3/3/2023,Cancelled,0
137,3785,7555,5,11/12/2024,Shipped,9162
138,647,1305,4,1/29/2021,DELIVERED,6495.58
139,4706,9392,5,1/23/2021,Return Requested,9354.59
140,3177,6363,5,12/10/2022,Delivered,6387.73
141,2466,4944,1,7/29/2022,Return Requested,56.83
142,3306,6621,3,3/21/2021,pending,3923.66
143,2655,5325,5,8/1/2023,Pending,282.75
144,3009,6013,3,3/23/2023,Return Requested,11152.73
145,1999,4026,5,4/16/2023,Delivered,10550.73
146,1471,2960,1,2/20/2021,Cancelled,0
147,1086,2199,6,5/29/2024,Return Requested,9988.4
148,4912,9792,1,1/4/2024,Cancelled,0
149,790,1612,1,5/19/2023,Pending,3724.79
150,4489,8972,2,2/5/2021,Shipped,742.21
151,257,525,6,4/17/2022,Delivered,10542.21
152,3183,6377,1,2/26/2023,Shipped,11366.05
153,2587,5188,4,1/11/2023,Delivered,1073.56
154,4827,9626,6,2/27/2021,Cancelled,0
155,1877,3789,2,2/23/2022,Shipped,5857.59
156,4180,8352,2,11/13/2022,Return Requested,877.09
157,4150,8297,4,9/7/2023,pending,9139.2
158,1712,3456,5,6/21/2021,pending,9201.72
159,4962,9886,2,11/23/2025,pending,1584.28
160,2231,4473,5,7/14/2023,Delivered,5729.62
161,218,455,6,9/16/2021,DELIVERED,6620.15
162,1082,2190,6,9/17/2022,Pending,3217.43
163,3431,6855,3,4/18/2021,Shipped,10475.57
164,4269,8532,4,5/12/2024,Pending,5106.5
165,200,420,3,10/22/2022,Shipped,2580.99
166,706,1434,2,6/9/2024,Return Requested,6494.59
167,1135,2298,4,12/13/2024,DELIVERED,8772.68
168,553,1122,2,4/5/2024,Pending,2453.76
169,1313,2647,3,3/5/2021,Pending,3775.01
170,3388,6776,1,1/21/2025,Shipped,11942.03
171,4215,8422,6,9/23/2021,pending,7816.04
172,943,1908,3,1/8/2022,DELIVERED,5285.3
173,1671,3380,1,2/13/2023,Return Requested,6235.03
174,4378,8754,1,7/23/2024,pending,1496
175,1099,2227,1,7/12/2024,Return Requested,2735.13
176,3807,7598,6,10/7/2022,Shipped,4090.12
177,2841,5692,6,5/10/2021,Shipped,7080.29
178,485,971,2,12/4/2021,pending,2799.87
179,1686,3409,4,5/22/2022,pending,2681.6
180,4086,8164,1,11/1/2024,Pending,898.37
181,2040,4104,5,10/24/2021,Cancelled,0
182,1377,2766,2,7/3/2022,Delivered,7591.68
183,2297,4598,6,12/24/2021,Delivered,2785.85
184,4266,8525,5,11/19/2021,DELIVERED,10869.77
185,4774,9522,1,10/16/2022,Pending,10322.64
186,302,610,5,8/25/2024,Delivered,896.75
187,3115,6240,2,7/2/2021,Return Requested,2894.16
188,3837,7652,2,1/20/2023,pending,8044.28
189,2530,5074,2,12/13/2021,Cancelled,0
190,442,883,1,5/23/2021,Return Requested,2610.13
191,3907,7791,4,11/1/2021,pending,1631.13
192,4488,8968,1,4/20/2023,Return Requested,11229.4
193,2218,4450,2,2/16/2025,DELIVERED,6873.96
194,714,1454,6,8/19/2021,Shipped,5698.42
195,2603,5222,5,7/11/2021,Delivered,9426.2
196,5016,9989,3,10/2/2021,Cancelled,0
197,3243,6492,5,5/4/2022,Delivered,9699.59
198,3021,6037,2,8/1/2021,pending,2325.4
199,138,295,3,8/11/2022,Shipped,1208.32
200,2669,5356,2,8/26/2022,Pending,5201.06
201,1780,3586,2,8/25/2020,Delivered,5111.76
202,106,228,6,10/25/2022,DELIVERED,5630.94
203,3938,7858,4,11/16/2024,Shipped,8762.46
204,4991,9935,4,8/18/2022,Delivered,8096.71
205,2542,5096,1,5/26/2021,DELIVERED,11810.77
206,3044,6094,3,10/17/2021,pending,1226.09
207,803,1637,1,3/27/2021,pending,4861.32
208,688,1398,5,10/7/2022,DELIVERED,4104.67
209,3267,6549,4,6/21/2021,Cancelled,0
210,4483,8961,2,10/19/2021,Shipped,10346.99
211,3953,7892,6,5/29/2022,Delivered,3021.44
212,232,481,3,7/28/2023,Delivered,2323
213,1048,2113,2,2/14/2024,Delivered,5410.93
214,3070,6152,1,1/3/2021,Cancelled,0
215,2934,5868,6,9/5/2021,Shipped,5091.49
216,4495,8985,4,4/11/2024,pending,3378.61
217,820,1671,3,12/19/2023,Shipped,3035.19
218,275,556,5,8/21/2023,Cancelled,0
219,314,635,1,8/8/2023,pending,11083.02
220,1227,2487,5,11/5/2023,Shipped,5345.41
221,3216,6439,5,6/25/2023,Delivered,10343.12
222,2714,5441,2,10/6/2024,Return Requested,6626.39
223,292,591,3,3/9/2024,pending,654.53
224,3285,6579,1,1/3/2021,Shipped,11991.43
225,4995,9942,1,12/11/2021,Return Requested,10040.53
226,1420,2855,5,9/30/2022,Delivered,11629.51
227,3754,7500,6,11/12/2023,Delivered,11120.09
228,1420,2854,3,2/6/2022,pending,10191.91
229,4077,8148,1,4/12/2021,Pending,2037.42
230,3428,6849,5,12/23/2020,Pending,5853.41
231,2998,5989,1,5/15/2021,pending,2604.28
232,303,613,6,5/18/2022,Shipped,4842.43
233,454,907,1,11/2/2022,Cancelled,0
234,2967,5933,4,2/3/2024,Pending,750.69
235,3799,7582,5,9/22/2022,Delivered,4578.73
236,3736,7469,5,5/11/2022,Return Requested,11824.44
237,1415,2844,2,6/3/2023,DELIVERED,3219.18
238,2661,5338,6,11/16/2020,Return Requested,9419.64
239,2551,5110,3,2/5/2024,Delivered,5487.35
240,4953,9871,2,1/13/2022,pending,5104.94
241,3572,7132,1,6/1/2023,Return Requested,11489.95
242,3928,7835,5,5/19/2023,Pending,11945.3
243,2420,4858,2,7/2/2021,DELIVERED,6691.43
244,2074,4178,6,7/21/2024,Delivered,8634.98
245,3107,6226,5,9/18/2024,Return Requested,1899.82
246,2953,5909,3,5/26/2022,Cancelled,0
247,3120,6250,3,6/12/2024,Shipped,3595.66
248,1784,3590,2,8/14/2023,DELIVERED,11626.08
249,1989,4002,1,8/26/2021,pending,6971.2
250,2350,4712,4,11/19/2021,pending,6529.23
251,4386,8770,5,2/12/2025,DELIVERED,8988.31
252,112,240,5,1/11/2022,Delivered,733.13
253,1356,2717,1,10/14/2022,Pending,7030.92
254,1041,2099,5,9/25/2024,DELIVERED,6059.06
255,4629,9237,5,3/30/2021,Return Requested,10240
256,3877,7737,5,2/1/2022,Pending,1931.32
257,4306,8606,4,7/14/2022,Delivered,11531.31
258,3624,7235,2,9/3/2024,DELIVERED,1007.33
259,2694,5407,3,4/27/2024,Pending,2270.61
260,2618,5254,6,6/1/2024,DELIVERED,7160.67
261,3074,6159,4,12/1/2022,Cancelled,0
262,2992,5979,1,12/21/2020,pending,8118.79
263,4449,8900,4,4/29/2021,DELIVERED,2860.69
264,4245,8484,1,4/13/2023,Delivered,1482.65
265,3942,7866,4,9/18/2024,pending,10688.93
266,2626,5269,4,11/16/2020,Return Requested,2992.27
267,4438,8884,5,8/12/2021,Pending,7154.5
268,742,1510,3,10/6/2021,pending,7451.61
269,1182,2395,2,7/28/2021,Pending,5059.74
270,1457,2927,1,11/11/2022,Cancelled,0
271,3261,6534,2,4/22/2023,Delivered,7024.88
272,4544,9078,6,3/10/2021,pending,6297.25
273,4014,8015,4,6/7/2023,Cancelled,0
274,4687,9348,5,2/16/2025,Shipped,11219.74
275,1109,2246,3,2/1/2022,Return Requested,2490.9
276,3001,5998,1,12/4/2023,pending,8608.49
277,3863,7712,2,3/31/2024,Return Requested,2902.3
278,2757,5529,3,2/26/2022,Delivered,4779.64
279,2502,5016,4,8/20/2022,Shipped,8076.7
280,1458,2930,3,1/27/2023,Return Requested,3634.97
281,2721,5454,5,7/21/2021,Delivered,3828.32
282,1297,2618,6,6/16/2021,DELIVERED,9034.78
283,186,389,4,3/1/2025,Shipped,916.89
284,3855,7693,6,10/8/2023,Pending,5526.51
285,4232,8462,2,4/25/2021,Pending,11981.53
286,732,1490,1,12/11/2021,Cancelled,0
287,2131,4286,2,11/3/2024,Shipped,11953.35
288,933,1891,1,7/12/2023,Delivered,925.47
289,2948,5896,2,2/25/2024,Shipped,2597.19
290,655,1322,3,4/3/2021,Return Requested,3219.14
291,1033,2084,4,12/17/2020,Pending,11202.45
292,1422,2859,4,3/1/2021,Shipped,10576.33
293,4125,8241,2,9/3/2023,Cancelled,0
294,3684,7358,3,12/26/2024,pending,10557.28
295,490,982,5,12/17/2023,Delivered,4465.85
296,4888,9744,5,9/3/2021,DELIVERED,1935.07
297,1743,3513,3,4/18/2021,Shipped,10013.25
298,1334,2681,3,4/29/2024,Pending,8457.3
299,4699,9375,6,5/1/2024,Return Requested,7359.55
300,2291,4586,3,1/5/2023,Return Requested,11847.44
301,93,200,5,11/13/2022,Return Requested,7865.02
302,3540,7071,3,11/19/2023,Cancelled,0
303,4128,8249,3,3/5/2021,pending,143.49
304,4860,9691,3,7/8/2021,pending,9814.39
305,4859,9690,1,11/27/2023,Shipped,3627.58
306,655,1323,4,12/10/2020,Cancelled,0
307,2235,4481,6,10/21/2024,pending,7977.5
308,2481,4976,4,8/21/2024,Delivered,11270.21
309,2196,4405,6,8/19/2023,Return Requested,1654.78
310,905,1836,2,9/16/2021,pending,1429.37
311,87,189,4,9/15/2022,Cancelled,0
312,3731,7459,5,4/9/2023,pending,1329.08
313,141,301,1,12/24/2024,Pending,6661.02
314,4854,9681,6,7/31/2022,Shipped,3304.56
315,1436,2888,6,9/16/2023,Return Requested,7277.72
316,4376,8749,3,3/3/2024,Delivered,8625.47
317,1049,2114,6,7/28/2021,Return Requested,2482.99
318,512,1034,3,1/14/2025,DELIVERED,7629.14
319,2469,4949,6,8/29/2022,Delivered,3204.61
320,3212,6430,5,5/1/2021,Pending,5887.96
321,468,940,6,2/1/2022,DELIVERED,10868.77
322,3012,6018,5,11/19/2023,Delivered,10160.94
323,950,1918,3,3/18/2023,Return Requested,1152.97
324,890,1807,4,3/30/2021,Shipped,5111.73
325,2015,4054,4,4/20/2023,Return Requested,3356.33
326,2051,4126,5,10/12/2023,DELIVERED,92.37
327,4794,9565,4,3/4/2025,Delivered,9264.87
328,3843,7665,2,4/9/2023,DELIVERED,7663.5
329,202,422,4,9/5/2021,Pending,3180.37
330,4123,8237,1,10/19/2023,pending,8907.71
331,1201,2439,4,9/7/2023,Cancelled,0
332,4389,8777,2,8/5/2023,Shipped,6642.58
333,1968,3970,4,12/12/2022,Cancelled,0
334,4646,9269,1,4/16/2024,Delivered,5160.86
335,1052,2121,6,1/7/2023,Return Requested,165.55
336,3099,6211,6,1/3/2021,Pending,949.16
337,2634,5283,1,4/5/2021,Pending,10603.12
338,287,580,2,8/29/2024,Pending,10851.95
339,659,1333,2,1/16/2023,Shipped,6569.8
340,4031,8049,4,12/13/2023,Shipped,10023.41
341,4444,8893,5,3/4/2025,Pending,7010.99
342,832,1692,1,1/30/2024,Shipped,1819.72
343,700,1421,5,5/15/2022,Shipped,1572.97
344,94,203,4,12/6/2020,DELIVERED,3733.69
345,1452,2916,6,6/14/2023,Delivered,10792.83
346,875,1779,5,12/8/2023,Cancelled,0
347,3992,7966,2,3/11/2022,Pending,9563.66
348,4735,9442,5,12/13/2023,Return Requested,10335.4
349,1690,3419,5,5/29/2024,Delivered,10792.15
350,4520,9029,6,4/9/2024,Shipped,2560.41
351,4704,9388,6,9/14/2023,Shipped,3031.88
352,1321,2664,6,9/1/2024,Shipped,1278.38
353,4113,8215,1,1/2/2022,DELIVERED,9372.39
354,1707,3447,1,5/27/2024,Pending,10615.41
355,672,1358,5,7/28/2024,Return Requested,4906.21
356,4167,8332,3,4/24/2023,Pending,7466.91
357,2372,4755,6,6/23/2021,DELIVERED,1896.91
358,1044,2106,3,8/14/2024,Cancelled,0
359,3122,6254,6,9/15/2022,Cancelled,0
360,144,308,3,11/23/2023,DELIVERED,11162.08
361,3281,6572,6,12/7/2022,Shipped,10382.04
362,1888,3808,6,1/22/2023,Cancelled,0
363,4267,8528,5,7/16/2022,Shipped,11715.66
364,1770,3566,1,7/2/2021,Pending,9738.72
365,3125,6261,5,7/8/2023,Cancelled,0
366,2416,4851,5,9/25/2023,DELIVERED,10582.92
367,1655,3351,3,1/14/2021,pending,346.2
368,3666,7320,3,10/1/2023,Delivered,8851.95
369,1817,3668,2,3/31/2024,Pending,4019.62
370,4581,9152,3,4/26/2022,Pending,11173.25
371,3010,6015,2,1/1/2023,Pending,9636.71
372,1804,3633,3,8/2/2022,Delivered,10375.57
373,3934,7852,5,2/21/2025,Return Requested,9738.45
374,2909,5819,2,11/5/2023,Pending,3238.33
375,4412,8827,6,2/18/2023,DELIVERED,9459.13
376,404,812,6,4/18/2021,Shipped,1341.74
377,4010,8006,3,1/21/2025,Cancelled,0
378,4412,8826,1,12/28/2023,Cancelled,0
379,5013,9984,3,8/30/2021,Pending,10472.39
380,944,1910,4,6/15/2022,Cancelled,0
381,213,444,5,10/22/2022,pending,10310.19
382,4235,8469,3,8/8/2021,pending,2708.08
383,4402,8804,4,9/23/2024,DELIVERED,9808.21
384,2775,5565,1,1/22/2023,DELIVERED,5550.62
385,4707,9393,5,10/2/2021,pending,3697.03
386,1426,2865,3,4/7/2023,Delivered,9554.38
387,2552,5114,1,12/10/2022,Shipped,2769.77
388,4608,9200,2,5/4/2022,Cancelled,0
389,1240,2511,2,12/25/2020,Pending,332.79
390,4844,9661,4,5/22/2022,Delivered,2357.9
391,4145,8287,3,10/15/2021,pending,3972.73
392,4636,9252,3,1/28/2022,pending,10379.02
393,1652,3343,1,5/20/2022,pending,11604.32
394,3538,7067,4,12/4/2024,Return Requested,3385.54
395,2242,4495,6,9/5/2023,Pending,7715.71
396,2740,5491,2,1/10/2025,Cancelled,0
397,1002,2024,1,7/27/2022,DELIVERED,4826.16
398,2113,4256,6,12/14/2020,Delivered,11774.74
399,2189,4392,5,9/7/2024,Pending,6457.78
400,3591,7169,3,8/28/2021,Return Requested,11273.88
401,1033,2084,6,10/6/2024,Pending,1428.33
402,3161,6334,6,6/16/2023,pending,11646.29
403,1182,2395,1,3/9/2023,pending,2183.89
404,2454,4926,3,11/17/2021,Pending,11552.29
405,4809,9594,6,7/8/2023,Cancelled,0
406,4962,9886,4,5/8/2023,Return Requested,3222.32
407,4107,8201,5,1/22/2022,Pending,1345.41
408,3240,6488,5,10/3/2024,Return Requested,5243.04
409,2100,4226,1,8/18/2022,Shipped,8756.11
410,1340,2691,4,12/21/2020,Return Requested,3798.44
411,3680,7351,2,11/3/2023,Delivered,7294.2
412,4493,8982,5,11/30/2023,Cancelled,0
413,1991,4006,4,12/24/2024,Delivered,6161.51
414,2372,4753,1,8/5/2023,Return Requested,4653.09
415,1945,3930,3,3/27/2024,Cancelled,0
416,2016,4055,1,12/23/2020,Shipped,6940.23
417,3300,6613,2,9/16/2021,Return Requested,3093.93
418,3873,7731,4,1/6/2025,pending,8519.98
419,2571,5156,3,12/15/2021,DELIVERED,70.21
420,4750,9469,4,5/16/2023,Delivered,11110.62
421,3497,6990,5,1/30/2025,pending,6484.5
422,1433,2882,5,9/2/2022,Cancelled,0
423,2759,5531,6,6/13/2022,Delivered,8647.19
424,4870,9710,4,11/10/2024,Pending,8916.3
425,3901,7781,2,5/30/2021,Delivered,8064.01
426,3758,7508,6,6/20/2022,Shipped,4402.45
427,4290,8578,4,7/21/2021,Cancelled,0
428,4049,8091,2,2/3/2021,pending,886.19
429,3757,7506,4,4/29/2024,Delivered,7987.64
430,322,648,1,3/14/2021,Cancelled,0
431,187,391,6,1/13/2022,pending,3995.89
432,4251,8497,6,1/14/2021,Return Requested,3801.29
433,2143,4309,1,10/6/2024,Delivered,10183.78
434,801,1633,6,3/8/2021,Shipped,8651.06
435,3091,6196,4,12/2/2023,Return Requested,3638.85
436,2091,4210,1,5/14/2024,Return Requested,3745.95
437,700,1421,4,11/23/2021,Shipped,4930.3
438,2202,4419,5,4/20/2024,Cancelled,0
439,1057,2131,1,8/23/2021,Return Requested,4858.68
440,1342,2695,3,8/3/2023,Return Requested,3583.08
441,2477,4963,5,7/18/2022,Cancelled,0
442,4245,8484,2,2/14/2021,Pending,1571.09
443,3156,6326,4,7/21/2023,Delivered,5074.33
444,3697,7387,6,7/9/2022,pending,11287.35
445,431,860,3,3/23/2023,pending,8143.95
446,2064,4159,4,4/22/2023,Pending,10838.53
447,2476,4961,2,9/14/2021,DELIVERED,7405.4
448,3308,6624,6,4/29/2023,DELIVERED,3646.35
449,4128,8249,3,12/4/2021,Return Requested,6597.85
450,3215,6438,4,12/28/2021,Shipped,54.85
451,616,1247,2,5/26/2021,DELIVERED,3478.62
452,800,1631,2,6/1/2024,pending,5187.16
453,2687,5392,2,12/25/2022,Return Requested,6980.82
454,2711,5434,4,3/22/2024,Cancelled,0
455,17,35,3,9/3/2024,Cancelled,0
456,3598,7180,1,3/30/2022,Delivered,7873.73
457,4759,9490,5,7/12/2024,Pending,5606.61
458,4663,9298,5,12/4/2024,DELIVERED,5333.81
459,2205,4427,2,4/29/2021,pending,2603.73
460,146,313,5,7/3/2022,Cancelled,0
461,1490,2997,1,2/23/2025,DELIVERED,5704.57
462,6,13,6,3/7/2023,Return Requested,10819.11
463,117,252,2,3/18/2024,Return Requested,9562.5
464,1591,3214,5,7/14/2022,Delivered,2077.81
465,763,1558,6,10/29/2022,Pending,1063.31
466,865,1758,4,3/31/2023,Shipped,6209.65
467,1041,2099,5,12/30/2020,Cancelled,0
468,1968,3970,2,8/21/2021,Return Requested,7613.64
469,4051,8095,1,2/5/2023,pending,4055.5
470,186,389,4,6/12/2024,Shipped,9830.16
471,1102,2231,2,7/20/2022,Return Requested,9026.1
472,1220,2475,3,10/12/2023,Return Requested,8089.91
473,903,1831,4,8/18/2024,Cancelled,0
474,1452,2917,1,6/27/2021,DELIVERED,2734.46
475,1020,2062,6,12/17/2021,Cancelled,0
476,2285,4572,5,5/18/2022,pending,2429.6
477,1358,2724,1,12/13/2024,Delivered,341.88
478,178,376,1,1/27/2023,Cancelled,0
479,1788,3598,3,8/13/2022,Shipped,2975.87
480,2810,5637,6,10/25/2022,Pending,5727.88
481,3284,6578,4,9/16/2021,Pending,10204.37
482,509,1028,6,2/12/2021,Shipped,920.3
483,109,235,1,7/21/2021,Return Requested,5002.57
484,2593,5202,1,6/13/2022,Return Requested,7575.7
485,1281,2585,5,2/28/2022,Return Requested,2373.5
486,1604,3248,5,2/7/2021,Cancelled,0
487,1813,3655,1,3/10/2021,Cancelled,0
488,502,1009,4,4/11/2023,Return Requested,8371.43
489,2432,4877,5,11/7/2020,Delivered,5957.81
490,1564,3157,2,12/10/2024,Return Requested,2965.61
491,4745,9461,5,3/16/2024,Delivered,7889.89
492,3206,6421,6,5/9/2022,pending,116.26
493,3797,7579,1,4/5/2024,Return Requested,9024.03
494,991,2005,4,11/14/2024,pending,9252.05
495,1267,2560,6,1/25/2025,Pending,1323.72
496,2465,4943,5,11/1/2024,Delivered,5130.5
497,1500,3019,3,4/27/2023,Return Requested,2151.85
498,1818,3669,6,8/13/2022,Pending,11497.69
499,3215,6436,3,9/27/2023,pending,6239.6
500,4828,9627,5,3/17/2022,DELIVERED,650.11
501,4651,9277,5,5/15/2021,Return Requested,3027.92
502,143,305,5,6/3/2023,Pending,10187.62
503,3457,6905,3,11/5/2022,DELIVERED,5504.72
504,4893,9755,6,1/19/2022,Delivered,9626.93
505,3125,6262,5,2/12/2022,DELIVERED,8027.55
506,3094,6199,6,9/9/2023,Pending,11855.31
507,303,613,3,10/4/2023,Shipped,7165.66
508,1650,3339,4,1/30/2025,Delivered,11402.97
509,1688,3413,5,1/8/2024,DELIVERED,10702.54
510,4104,8197,6,4/25/2021,DELIVERED,7371.2
511,35,73,5,3/25/2024,DELIVERED,8645.32
512,2490,4996,2,11/10/2024,Delivered,6082.1
513,2922,5845,3,12/6/2020,Return Requested,9975.3
514,447,893,2,2/25/2024,DELIVERED,6597.07
515,2419,4857,4,1/29/2021,Delivered,10771.64
516,3284,6577,5,6/16/2023,Shipped,8936.68
517,3097,6208,1,12/31/2021,Return Requested,5722.36
518,4377,8752,3,6/20/2023,pending,3147.34
519,1297,2618,3,3/9/2023,pending,3004.51
520,3600,7184,2,11/16/2023,Cancelled,0
521,4594,9173,4,7/28/2021,Return Requested,7670.05
522,1229,2490,3,12/15/2021,Return Requested,9201.47
523,4634,9249,5,10/29/2022,Delivered,6279.53
524,280,566,4,3/3/2024,Shipped,7539.64
525,2940,5879,3,1/10/2021,Cancelled,0
526,1831,3693,6,11/21/2021,Delivered,3331.44
527,4318,8630,2,12/24/2021,Delivered,975.93
